ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflicts,hotspot_ratio,idle_ratio,normalized_cycles
11,11,2,145648,57696,4739,0.10507246376811592,0.028985507246376815,1.2987587387644457
11,12,1,200176,112224,4742,0.07971014492753617,0.03442028985507246,1.7849907262091596
12,1,11,193296,105344,4730,0.09963768115942022,0.012681159420289856,1.723641032957626
12,2,10,143248,55296,4730,0.11956521739130432,0.012681159420289856,1.277357682979027
12,3,9,128592,40640,4730,0.14673913043478262,0.012681159420289856,1.1466685689827365
12,4,8,121872,33920,4730,0.17391304347826084,0.012681159420289856,1.086745612783564
12,5,7,118864,30912,4730,0.25905797101449274,0.012681159420289856,1.0599229561991725
12,6,6,116944,28992,4730,0.2717391304347826,0.012681159420289856,1.0428021115708375
12,7,5,118352,30400,4730,0.29528985507246375,0.012681159420289856,1.0553573976316164
12,8,4,121456,33504,4730,0.28442028985507245,0.012681159420289856,1.0830360964474248
12,9,3,128616,40664,4733,0.19021739130434784,0.0181159420289855,1.1468825795405906
12,10,2,145520,57568,4736,0.13768115942028983,0.023550724637681156,1.2976173491225567
12,11,1,200048,112096,4739,0.09057971014492748,0.028985507246376815,1.7838493365672707
13,1,10,193232,105280,4729,0.10144927536231879,0.010869565217391304,1.7230703381366814
13,2,9,143760,55808,4729,0.12137681159420287,0.010869565217391304,1.2819232415465829
13,3,8,129104,41152,4729,0.15579710144927536,0.010869565217391304,1.1512341275502924
13,4,7,123088,35136,4729,0.2445652173913043,0.010869565217391304,1.0975888143815096
13,5,6,120080,32128,4729,0.24999999999999997,0.010869565217391304,1.070766157797118
13,6,5,119632,31680,4729,0.28442028985507245,0.010869565217391304,1.0667712940505065
13,7,4,122288,34336,4729,0.30978260869565216,0.010869565217391304,1.0904551291197033
13,8,3,129192,41240,4730,0.27355072463768115,0.012681159420289856,1.1520188329290912
13,9,2,145520,57568,4733,0.17028985507246375,0.0181159420289855,1.2976173491225567
13,10,1,199984,112032,4736,0.1231884057971014,0.023550724637681156,1.7832786417463262
14,1,9,193296,105344,4728,0.08514492753623182,0.009057971014492752,1.723641032957626
14,2,8,144336,56384,4728,0.11231884057971012,0.009057971014492752,1.2870594949350835
14,3,7,130320,42368,4728,0.20833333333333334,0.009057971014492752,1.162077329148238
14,4,6,124368,36416,4728,0.21739130434782605,0.009057971014492752,1.1090027108003995
14,5,5,122512,34560,4728,0.2445652173913043,0.009057971014492752,1.092452560993009
14,6,4,123312,35360,4728,0.28079710144927533,0.009057971014492752,1.0995862462548152
14,7,3,129896,41944,4729,0.2807971014492754,0.010869565217391304,1.1582964759594807
14,8,2,145904,57952,4730,0.23550724637681156,0.012681159420289856,1.3010415180482238
14,9,1,199920,111968,4733,0.1376811594202898,0.0181159420289855,1.7827079469253817
15,1,8,193360,105408,4727,0.07971014492753617,0.0072463768115942,1.7242117277785705
15,2,7,145552,57600,4727,0.1684782608695652,0.0072463768115942,1.297902696533029
15,3,6,131600,43648,4727,0.18478260869565216,0.0072463768115942,1.173491225567128
15,4,5,126736,38784,4727,0.2155797101449275,0.0072463768115942,1.130118419175346
15,5,4,126096,38144,4727,0.2445652173913043,0.0072463768115942,1.124411470965901
15,6,3,130832,42880,4728,0.2554347826086957,0.009057971014492752,1.166642887715794
15,7,2,146352,58400,4729,0.24637681159420288,0.010869565217391304,1.3050363817948352
15,8,1,199856,111904,4730,0.20652173913043476,0.012681159420289856,1.7821372521044372
16,1,7,193488,105536,4727,0.12499999999999996,0.0072463768115942,1.7253531174204595
16,2,6,146768,58816,4727,0.13405797101449274,0.0072463768115942,1.3087458981309745
16,3,5,133904,45952,4727,0.1721014492753623,0.0072463768115942,1.1940362391211299
16,4,4,129808,41856,4727,0.20471014492753617,0.0072463768115942,1.1575117705806819
16,5,3,132880,44928,4728,0.20833333333333331,0.009057971014492749,1.184905121986018
16,6,2,146992,59040,4729,0.21014492753623187,0.010869565217391299,1.3107433300042801
16,7,1,199792,111840,4730,0.20652173913043476,0.012681159420289854,1.7815665572834927
17,1,6,193872,105920,4728,0.11231884057971012,0.009057971014492749,1.7287772863461264
17,2,5,149136,61184,4728,0.14311594202898548,0.009057971014492749,1.329861606505921
17,3,4,137040,49088,4728,0.1829710144927536,0.009057971014492749,1.2220002853474106
17,4,3,136336,48384,4729,0.19021739130434778,0.010869565217391299,1.2157226423170209
17,5,2,148528,60576,4730,0.18478260869565216,0.012681159420289849,1.3244400057069483
17,6,1,200032,112080,4731,0.19202898550724634,0.0144927536231884,1.7837066628620346
18,1,5,195088,107136,4729,0.12137681159420287,0.010869565217391299,1.739620487944072
18,2,4,152080,64128,4729,0.15398550724637677,0.010869565217391299,1.356113568269368
18,3,3,142736,54784,4730,0.16847826086956522,0.012681159420289854,1.272792124411471
18,4,2,151088,63136,4731,0.16666666666666663,0.014492753623188404,1.3472677985447281
18,5,1,200688,112736,4732,0.16666666666666666,0.016304347826086953,1.7895562847767157
19,1,4,198096,110144,4733,0.13224637681159415,0.018115942028985497,1.7664431445284634
19,2,3,157712,69760,4734,0.1394927536231884,0.019927536231884046,1.4063347125124839
